Task,Form ADV Part,Due Date,Responsible Party,Completed,Regulation Reference
Update firm information,Part 1A - Item 1,Within 90 days of FYE,CCO,,Advisers Act Rule 204-1
Review ownership changes,Part 1A - Item 2,Within 90 days of FYE,CCO,,Advisers Act Rule 204-1
Update disciplinary history,Part 1A - Item 11,Within 90 days of FYE,CCO,,Advisers Act Rule 204-1
Review client type information,Part 1A - Item 5,Within 90 days of FYE,CCO,,Advisers Act Rule 204-1
Update AUM calculations,Part 1A - Item 5,Within 90 days of FYE,CCO,,Advisers Act Rule 204-1
Review custody status,Part 1A - Item 9,Within 90 days of FYE,CCO,,Advisers Act Rule 206(4)-2
Update fee schedule,Part 2A - Item 5,Within 90 days of FYE,CCO,,Advisers Act Rule 204-3
Review services offered,Part 2A - Item 4,Within 90 days of FYE,CCO,,Advisers Act Rule 204-3
Update conflicts of interest,Part 2A - Item 10-12,Within 90 days of FYE,CCO,,Advisers Act Rule 204-3
Review code of ethics,Part 2A - Item 11,Within 90 days of FYE,CCO,,Advisers Act Rule 204A-1
Update brochure supplements,Part 2B,Within 90 days of FYE,CCO,,Advisers Act Rule 204-3
Review privacy policy,Part 2A - Privacy,Annually,CCO,,Reg S-P
File Form ADV amendments,All Parts,Within 90 days of FYE,CCO,,Advisers Act Rule 204-1
Deliver updated brochure to clients,Part 2A/2B,Within 120 days of FYE,IAR,,Advisers Act Rule 204-3
