Task,Frequency,Due Date,Responsible Party,Completed,State Requirement
Renew insurance license,Every 2 years,Renewal date,Agent,,State Insurance Department
Complete continuing education,Every 2 years,Before renewal,Agent,,State CE Requirements (20-24 hours)
Complete ethics CE course,Every 2 years,Before renewal,Agent,,State Requirements (3-4 hours)
Pay license renewal fees,Every 2 years,Renewal date,Agent/Firm,,State Fee Schedule
Update background information,As needed,Within 30 days,Agent,,NAIC
Report name/address changes,As needed,Within 30 days,Agent,,State Insurance Department
Disclose criminal/regulatory actions,As needed,Within 30 days,Agent,,State Requirements
Maintain E&O insurance,Ongoing,Policy renewal,Agent/Firm,,State or Company Requirement
Update company appointments,As needed,Within 30 days,Agent/Firm,,State Insurance Department
Complete anti-money laundering training,Annually,December 31,Agent,,Company/NAIC
Review state insurance laws,Annually,December 31,Agent,,Best Practice
Verify HIPAA compliance training,Annually,December 31,Agent,,HIPAA Requirements
Update privacy policy knowledge,Annually,December 31,Agent,,State Requirements
